,Car_Name,Brand_Name,Engine Capacity,Category,Body Condition,model Year,Milage,Fuel Type,Transmission,Color,City Registered,Price
12013,Cultus,Suzuki,1000,Hatchback,Good,2021,41000,Petrol,Manual,White,Punjab,34.3
12014,Cultus,Suzuki,1000,Hatchback,Excellent,2021,42000,Petrol,Automatic,White,Islamabad,36.25
12015,Cultus,Suzuki,1000,Hatchback,Very Poor,2011,74800,Petrol,Manual,Solid White,Sindh,12.5
12016,Cultus,Suzuki,1000,Hatchback,Excellent,2007,123,Petrol,Manual,Blue,Karachi,8.7
12017,Cultus,Suzuki,1000,Hatchback,Poor,2008,150000,Petrol,Manual,White,Lahore,9.75
12018,Cultus,Suzuki,1000,Hatchback,Good,2005,80000,Petrol,Manual,White,Punjab,6.8
12019,Cultus,Suzuki,1000,Hatchback,Excellent,2007,82,Petrol,Manual,Beige,Karachi,9.0
12020,Cultus,Suzuki,1000,Hatchback,Excellent,2018,90000,Petrol,Manual,White,Punjab,26.85
12021,Cultus,Suzuki,1000,Hatchback,Excellent,2017,100000,Petrol,Manual,White,Lahore,23.9
12022,Cultus,Suzuki,1000,Hatchback,Excellent,2007,98068,Petrol,Manual,Beige,Lahore,8.5
12023,Cultus,Suzuki,1000,Hatchback,Good,2017,34000,Petrol,Manual,Maroon,Sindh,25.0
12024,Cultus,Suzuki,1000,Hatchback,Fair,2015,97059,Petrol,Manual,Grey,Sindh,18.5
12025,Cultus,Suzuki,1000,Hatchback,Excellent,2010,110000,Petrol,Manual,Graphite Grey,Lahore,13.5
12026,Cultus,Suzuki,1000,Hatchback,Excellent,2015,80000,Petrol,Manual,Solid White,Lahore,16.5
12027,Cultus,Suzuki,1000,Hatchback,Good,2012,123,Petrol,Manual,Grey,Sindh,11.5
12028,Cultus,Suzuki,1000,Hatchback,Good,2006,119000,Petrol,Manual,Gold,Islamabad,8.45
12029,Cultus,Suzuki,1000,Hatchback,Fair,2019,181914,Petrol,Manual,Graphite Grey,Lahore,26.8
12030,Cultus,Suzuki,1000,Hatchback,Excellent,2007,68556,CNG,Manual,Solid White,Lahore,9.15
12031,Cultus,Suzuki,1000,Hatchback,Excellent,2022,1200,Petrol,Automatic,White,Punjab,42.0
12032,Cultus,Suzuki,1000,Hatchback,Good,2021,45632,Petrol,Automatic,Silky Silver,Punjab,35.0
12033,Cultus,Suzuki,1000,Hatchback,Fair,2013,55752,Petrol,Manual,White,Lahore,16.5
12034,Cultus,Suzuki,1000,Hatchback,Good,2017,152621,Petrol,Manual,White,Lahore,22.3
12035,Cultus,Suzuki,1000,Hatchback,Fair,2017,107000,Petrol,Manual,White,Lahore,19.25
12036,Cultus,Suzuki,1000,Hatchback,Excellent,2019,108000,Petrol,Manual,Gold,Punjab,25.6
12037,Cultus,Suzuki,1000,Hatchback,Fair,2005,150000,Petrol,Manual,Silky Silver,Lahore,6.8
12038,Cultus,Suzuki,1000,Hatchback,Good,2003,100000,CNG,Manual,Green,Rawalpindi,8.0
12039,Cultus,Suzuki,1000,Hatchback,Excellent,2016,90000,Petrol,Manual,Grey,Islamabad,30.0
12040,Cultus,Suzuki,1000,Hatchback,Excellent,2016,90000,Petrol,Manual,Grey,Islamabad,30.0
12041,Cultus,Suzuki,1000,Hatchback,Good,2016,80000,Petrol,Manual,Solid White,Punjab,17.5
12042,Cultus,Suzuki,1000,Hatchback,Good,2015,24000,Petrol,Manual,White,Islamabad,16.0
12043,Cultus,Suzuki,1000,Hatchback,Good,2016,75000,Petrol,Manual,White,Punjab,17.5
12044,Cultus,Suzuki,1000,Hatchback,Good,2007,48677,Petrol,Manual,Maroon,Karachi,6.5
12045,Cultus,Suzuki,1000,Hatchback,Good,2019,85000,Petrol,Manual,White,Lahore,29.35
12046,Cultus,Suzuki,1000,Hatchback,Excellent,2003,100000,Petrol,Manual,Silky Silver,Lahore,6.9
12047,Cultus,Suzuki,1000,Hatchback,Good,2002,430,Petrol,Manual,Silver,Karachi,7.5
12048,Cultus,Suzuki,1000,Hatchback,Fair,2018,71375,Petrol,Manual,Maroon,Karachi,24.0
